i	Clean	Noise	Filtered
0	0.000000	-48.799999	-14.200045
1	20.299278	-12.100723	4.149593
2	40.519287	59.919289	40.159599
3	60.581070	82.581070	51.490490
4	80.406288	68.006287	38.608284
5	99.917519	129.917511	70.168884
6	119.038574	62.838573	71.141975
7	137.694778	201.894775	93.501625
8	155.813293	212.813293	133.272858
9	173.323364	184.323364	172.045212
10	190.156616	181.956619	189.391586
11	206.247299	252.447296	199.677139
12	221.532593	226.132599	207.756424
13	235.952820	293.952820	220.967758
14	249.451645	270.051636	249.543839
15	261.976349	208.976349	249.543839
16	273.478058	261.078064	252.420776
17	283.911865	306.311859	275.027496
18	293.236969	346.636963	279.147186
19	301.416992	258.016998	275.135651
20	308.420013	319.020020	295.469971
21	314.218628	316.618622	313.983490
22	318.790253	340.590240	325.409637
23	322.116974	274.916962	303.518524
24	324.185883	290.985870	308.874847
25	324.988831	355.788818	316.064911
26	324.522675	360.522675	329.121643
27	322.789307	267.989319	307.230560
28	319.795441	324.995453	323.923370
29	315.552765	333.352753	338.045685
30	310.077881	277.877869	312.075348
31	303.392151	277.992157	293.621826
32	295.521667	239.721664	293.621826
33	286.497192	332.697205	296.189056
34	276.353943	261.953949	272.608002
35	265.131531	307.731537	282.559204
36	252.873795	278.473785	282.719757
37	239.628586	236.228592	282.719757
38	225.447632	240.447632	260.291779
39	210.386322	236.186325	251.716675
40	194.503448	239.903442	238.859879
41	177.861038	198.661041	237.439453
