i	Clean	Noise	Filtered
0	0.000000	-48.799999	-14.200045
1	20.299278	-12.100723	4.149593
2	40.519287	59.919289	40.159599
3	60.581070	82.581070	51.490490
4	80.406288	68.006287	59.919289
5	99.917519	129.917511	68.006287
6	119.038574	62.838573	68.006287
7	137.694778	201.894775	82.581070
8	155.813293	212.813293	129.917511
9	173.323364	184.323364	184.323364
10	190.156616	181.956619	184.323364
11	206.247299	252.447296	201.894775
12	221.532593	226.132599	212.813293
13	235.952820	293.952820	226.132599
14	249.451645	270.051636	252.447296
15	261.976349	208.976349	252.447296
16	273.478058	261.078064	261.078064
17	283.911865	306.311859	270.051636
18	293.236969	346.636963	270.051636
19	301.416992	258.016998	261.078064
20	308.420013	319.020020	306.311859
21	314.218628	316.618622	316.618622
22	318.790253	340.590240	319.020020
23	322.116974	274.916962	316.618622
24	324.185883	290.985870	316.618622
25	324.988831	355.788818	316.618622
26	324.522675	360.522675	340.590240
27	322.789307	267.989319	290.985870
28	319.795441	324.995453	324.995453
29	315.552765	333.352753	333.352753
30	310.077881	277.877869	324.995453
31	303.392151	277.992157	277.992157
32	295.521667	239.721664	277.992157
33	286.497192	332.697205	277.992157
34	276.353943	261.953949	277.877869
35	265.131531	307.731537	277.992157
36	252.873795	278.473785	278.473785
37	239.628586	236.228592	278.473785
38	225.447632	240.447632	261.953949
39	210.386322	236.186325	240.447632
40	194.503448	239.903442	239.903442
41	177.861038	198.661041	236.228592
42	160.524094	217.724091	236.186325
43	142.560303	140.160309	217.724091
44	124.039825	176.039825	198.661041
45	105.034966	158.634964	176.039825
46	85.619949	45.819950	158.634964
47	65.870590	128.070587	140.160309
48	45.864002	-2.135998	128.070587
49	25.678320	56.678322	56.678322
50	5.392365	47.592365	47.592365
51	-14.914647	32.285355	47.592365
52	-35.163418	-24.763416	32.285355
53	-55.274876	-109.874878	32.285355
54	-75.170486	-79.970490	-24.763416
55	-94.772560	-87.372559	-79.970490
56	-114.004547	-80.804550	-80.804550
57	-132.791351	-88.391350	-87.372559
58	-151.059601	-175.059601	-87.372559
59	-168.737976	-192.337982	-88.391350
60	-185.757431	-186.157425	-175.059601
61	-202.051498	-238.251495	-186.157425
62	-217.556564	-221.956558	-192.337982
63	-232.212082	-289.012085	-221.956558
64	-245.960815	-223.960815	-223.960815
65	-258.749054	-211.749054	-223.960815
66	-270.526917	-313.926910	-223.960815
67	-281.248352	-286.648346	-286.648346
68	-290.871552	-232.071548	-232.071548
69	-299.358887	-328.158875	-286.648346
70	-306.677216	-315.877228	-313.926910
71	-312.797974	-303.597961	-303.597961
72	-317.697296	-375.297302	-315.877228
73	-321.355988	-338.755981	-328.158875
74	-323.759796	-297.759796	-315.877228
75	-324.899353	-314.299347	-314.299347
76	-324.770142	-283.170135	-314.299347
77	-323.372742	-309.772736	-309.772736
78	-320.712585	-296.912598	-297.759796
79	-316.800018	-275.200012	-296.912598
80	-311.650391	-321.850403	-296.912598
81	-305.283752	-344.283752	-309.772736
82	-297.725006	-247.925003	-296.912598
83	-289.003632	-284.603638	-284.603638
84	-279.153717	-294.553711	-294.553711
85	-268.213715	-329.413727	-294.553711
86	-256.226318	-226.226318	-284.603638
87	-243.238388	-257.038391	-284.603638
88	-229.300613	-255.300613	-257.038391
89	-214.467407	-151.467407	-255.300613
90	-198.796738	-247.396744	-247.396744
91	-182.349747	-154.149750	-247.396744
92	-165.190704	-228.590698	-228.590698
93	-147.386581	-193.586578	-193.586578
94	-129.006927	-113.606926	-193.586578
95	-110.123497	-145.323502	-154.149750
96	-90.810036	-55.010036	-145.323502
97	-71.141968	-100.341965	-113.606926
98	-51.196091	-85.996094	-100.341965
99	-31.050293	21.349709	-85.996094
100	-10.783245	-71.183243	-71.183243
101	9.525910	51.525909	-71.183243
102	29.797869	29.797869	21.349709
103	49.953465	28.353464	28.353464
104	69.913994	91.313995	29.797869
105	89.601517	40.201515	40.201515
106	108.939140	117.139137	40.201515
107	127.851357	77.451355	77.451355
108	146.264328	187.464325	91.313995
109	164.106125	159.706131	117.139137
110	181.307098	203.707092	159.706131
111	197.800079	262.400085	187.464325
112	213.520645	179.520645	187.464325
113	228.407425	239.607422	203.707092
114	242.402267	283.202271	239.607422
115	255.450546	292.050537	262.400085
116	267.501282	296.901276	283.202271
117	278.507446	231.107452	283.202271
118	288.426025	307.226013	292.050537
119	297.218323	233.218323	292.050537
120	304.850006	311.649994	296.901276
121	311.291229	258.691223	258.691223
122	316.516876	305.716888	305.716888
123	320.506531	339.106537	305.716888
124	323.244598	349.844604	311.649994
125	324.720428	315.920441	315.920441
126	324.928223	283.928223	315.920441
127	323.867157	299.467163	315.920441
128	321.541443	271.141449	299.467163
129	317.960083	292.960083	292.960083
130	313.137085	292.737091	292.737091
131	307.091339	248.091339	292.737091
132	299.846375	282.646362	282.646362
133	291.430511	319.230499	292.737091
134	281.876648	333.876648	292.737091
135	271.222046	334.222046	319.230499
136	259.508301	249.308304	319.230499
137	246.781219	301.181213	319.230499
138	233.090454	280.890442	301.181213
139	218.489471	186.489471	280.890442
140	203.035278	242.235275	249.308304
141	186.788254	187.588257	242.235275
142	169.811829	164.011826	187.588257
143	152.172287	127.572289	186.489471
144	133.938507	123.338509	164.011826
145	115.181709	56.581707	127.572289
146	95.975128	102.575127	123.338509
147	76.393761	131.593765	123.338509
148	56.514084	109.514084	109.514084
149	36.413719	36.813721	102.575127
150	16.171158	-44.028843	102.575127
151	-4.134551	-25.934551	36.813721
152	-24.424114	-75.224113	-25.934551
153	-44.618301	15.781700	-25.934551
154	-64.638252	-86.038254	-44.028843
155	-84.405800	-121.805801	-75.224113
156	-103.843735	-70.843735	-75.224113
157	-122.876167	-176.276169	-86.038254
158	-141.428772	-206.028778	-121.805801
159	-159.429108	-167.429108	-167.429108
160	-176.806854	-212.006851	-176.276169
161	-193.494186	-164.894180	-176.276169
162	-209.425934	-237.025940	-206.028778
163	-224.539871	-221.139877	-212.006851
164	-238.776993	-199.976990	-212.006851
165	-252.081680	-292.481689	-221.139877
